Item ID,Content,Annotation
1773741177738dcwf5bp95mq,Is 'costly' associated with the frame 'Expend resource - An Agent uses a Resource which is consumed and unavailable for future use'?,Incorrect
1773741177738q1qqlrg5idt,"Is 'peaceful' associated with 'harmony, harmoniousness'?",Correct
1773741177738creehzpp65h,Is ejaculatory duct related to ejaculate?,Correct
17737411777386acp29r2xqr,"Is 'monitor' associated with the frame 'Medical interaction scenario - A Patient interacts with one or more Medics (doctors, nurses, and/or EMTs with a responsibility for the Patient'?",Correct
1773741177738q7v99cbv00n,"Is 'remarkable' associated with 'progress, advancement'?",Correct
1773741177738jpzkgfxn648,"Is 'territory' associated with the frame 'Bounded region - An Exterior, Surface, Boundary, and Interior are picked out relative to the Ground'?",Correct
1773741177738q8g7l5w7s8p,Is blowdryer used for drying hair?,Correct
1773741177738fpms5zc6v5,"Is 'swallow' associated with the frame 'Ingestion - An Ingestor consumes food or drink (Ingestibles), which entails putting the Ingestibles in the mouth for delivery to the digestive system'?",Correct
1773741177738fh3u9ersa4k,Is 'extent' associated with 'scale'?,Correct
1773741177738aq1xhqjetv6,Are worker from animals that are termite?,Correct
17737411777388enzxdj6po8,"Is 'agrarian' associated with 'sodbuster, husbandman, farmer'?",Correct
1773741177738zwqnki9jtyn,Are plate from home that are tableware?,Correct
17737411777387wx3posrxj4,Is 'secret' associated with 'secret'?,Correct
1773741177738csyzyq2ow0h,Are SUV from vehicles that are used for rental?,Correct
1773741177738grutgd63j6,Is 'metamorphosis' associated with the frame 'Ontogeny - An Entity develops from a Prior state to a Post state'?,Correct
1773741177738cq40q9wn84h,Is can used for beverage can?,Correct
17737411777385rcitexr576,Is 'susceptible' associated with the frame 'Change resistance - An Agent changes a Patient'?,Incorrect
1773741177738a4y7p3md13i,Is 'deliver' associated with the frame 'Passing - An Agent physically transfers a Theme to a Recipient'?,Correct
1773741177738s0mb8i5bc4r,Is water spout used for irrigation system?,Correct
1773741177738ovxxss5gm7n,Are bass drum from instruments that can have or be used with foot?,Correct
1773741177738d54mgc9xwna,Is 'necessity' associated with the frame 'Needing - The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent)'?,Correct
17737411777382a5pdeqjfrd,Is 'sneakers' associated with the frame 'Exercising - An Agent actively maintains or improves their level of phyiscal fitness'?,Correct
1773741177738chj2axccdvi,Is crime boss related to godfather?,Correct
1773741177738e26nw32yomo,"Is 'small' associated with 'trouser pocket, pocket'?",Correct
17737411777388uceo84y3x4,Is business used for entrepreneurship?,Correct
1773741177738wtklj0s6l2,Is 'explicit' associated with 'promise'?,Incorrect
1773741177738chzt8pt13bp,Are beret from clothes that are woman's hat?,Correct
1773741177738hlu6vbfji8d,Is amendments related to constitution?,Correct
1773741177738t4d9tjnll3,Are butterfly from animals that are trichopteron?,Incorrect
1773741177738c77qsl0tqnc,Are truck from vehicles that can crash?,Correct
1773741177738koajqqbd8uk,Is network protocol related to local area network?,Correct
1773741177738m5flapa3v4l,"Is 'purify' associated with 'iodine, atomic number 53, i'?",Correct
1773741177738ceo83txchm,Is selling new book used for sell books?,Correct
17737411777382hw7yprse6q,Is collagen related to spicule?,Correct
1773741177738qrv52xi7r3o,Is 'house' associated with 'estate'?,Correct
1773741177738cnz35m42jn9,Are arrow from artifacts that are used for fight?,Correct
1773741177738sbbrg096gp8,Is escheat related to escheat?,Correct
17737411777385bqfoqhntgp,Is 'fascinating' associated with 'book'?,Correct
1773741177738i4yhyn7bnba,Are Deer from animals that can be forage?,Incorrect
17737411777388bs62dxq1gf,"Is 'lethal' associated with 'firearm, gun, fire arm'?",Correct
17737411777386fzxw5xvew4,Are soap from home that are used to wash?,Correct
1773741177738945wsg1kas,Is 'insulating' associated with the frame 'Heat potential - An Insulator is judged for its potential to increase the body temperature of an Experiencer'?,Correct
1773741177738oyn10hc4wi,Is 'transaction' associated with the frame 'Commerce money-transfer - The subframe of the Commercial transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods)'?,Correct
1773741177738xfvp41cxlwr,Is 'trick' associated with the frame 'Fall for - A Victim comes to have incorrect beliefs as a result of exposure to a Deception'?,Correct
1773741177738z6uow0yzg2,"Is 'centralize' associated with 'bureaucracy, bureaucratization, bureaucratisation'?",Correct
17737411777385tzo2unug8w,Is ship's company related to equipage?,Correct
1773741177738ntsllzu9fio,"Is 'safari' associated with 'hunting, hunt'?",Incorrect
177374117773848wgjxjkdlr,Is telling many people about used for sharing information?,Correct
177374117773891179ecpo8d,Are bridge from artifacts that can be made of steel?,Correct
1773741177738dbb6qytn1xf,Is stuffed animal used for memorabilia?,Correct
1773741177738vm79ksmssu,"Is 'peremptory' associated with 'command, dictation, bidding'?",Correct
17737411777384ga10e7cbj3,Is 'insurgency' associated with the frame 'Irregular combatants - A Combatant is declared or loyal to a Side in a military Conflict'?,Correct
1773741177738bkrof20pk0d,Is 'dirt road' associated with 'dust'?,Correct
1773741177738u2pf22qusgf,Is 'point' associated with 'direction'?,Correct
1773741177738jt9o5v23kz,Is disoriented related to confused?,Correct
1773741177738ezgw6r1cf9s,Are boat from vehicles that can be aerodynamic?,Correct
1773741177738z2w2zdnh81e,Is skating used for dance?,Correct
17737411777387izs3maveyp,Is 'essential' associated with 'supply'?,Correct
17737411777386u1pciw1obq,Is couch used for watching sports?,Correct
1773741177738y4qt9nj3gak,Are lop from animals that are bunny rabbit?,Correct
1773741177738831y3z6elm,Are rain gauge from appliance that can be found or used in weather stations?,Correct
1773741177738ei0n1fzi6ns,Is aerosol related to nozzle?,Correct
1773741177738gzwknn7lhf5,Is 'frustration' associated with the frame 'Elusive goal - An Experiencer does not achieve a Desired goal'?,Correct
177374117773844nb6ivg9rq,Are guitar from instruments that are instrument?,Correct
1773741177738svv406032jm,Are onion from food that can be used for cook?,Correct
17737411777386re9vus2awv,"Is 'logical' associated with 'philosophy, doctrine, school of thought'?",Correct
1773741177738h0duwms665j,Are mirror from appliance that can be made of glass?,Correct
1773741177738tb09mhgb5mo,Is 'broker' associated with 'agent'?,Correct
17737411777385rg25i69x3t,"Is 'inspire' associated with 'motivator, incentive, inducement'?",Correct
1773741177738rq4zszxb11l,Is 'remittance' associated with the frame 'Commerce money-transfer - The subframe of the Commercial transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods)'?,Correct
1773741177738zjb5wocavl,"Is 'grassroots' associated with 'campaign, effort, drive'?",Correct
17737411777387y387w783ie,Is 'legal' associated with the frame 'Appeal - In the Appeal stage of the criminal process the Convict or his or her Representative applies to a higher Court to reverse the Decision of the lower court on certain Grounds'?,Correct
1773741177738qxzwygusdtr,Is article in magazine used for provide advice?,Correct
1773741177738cdprq10bgyg,Is 'sailor' associated with 'ship'?,Correct
1773741177738f6o7g4fxac8,Are refrigerator from appliance that can have capillary?,Incorrect
177374117773844i7w3mu7t3,Is necklace used for gift giving?,Correct
1773741177738uzc8zhv8l4i,"Is 'independent' associated with the frame 'Relational political locales - A Locale is defined politically to be the head of state of another, larger political locale, the Container possessor'?",Correct
1773741177738phz3ui7gfz,"Is 'egotism' associated with the frame 'Bragging - A Speaker talks about a Topic, which may be an action performed by the Speaker or an entity or state of affairs that they are associated with in order to suggest that the Speaker is worthy of admiration'?",Correct
17737411777385mlzpd2oazh,Are horse from animals that can have foot?,Correct
1773741177738js01l4765jh,"Is 'public' associated with 'transfer, transport, transportation'?",Correct
1773741177738o8qr33xoe8i,Are homebody from home that are support?,Correct
1773741177738s984hgnbl1b,Are Panama from clothes that are straw hat?,Correct
17737411777388fkgbh5c97k,Are spatula from tools that are kitchen utensil?,Correct
1773741177738imr1fjklbv,Are barn cleaner from vehicles that can be found or used in farms?,Correct
1773741177738c01q62f4h46,Is 'elevate' associated with the frame 'Cause change of position on a scale - This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value 1) to an end value (Value 2)'?,Correct
1773741177738xp2ob42tnyn,"Is 'competent' associated with 'candidate, prospect, political candidate'?",Correct
1773741177738tdnq8zxjbs,Are tractor from vehicles that use diesel?,Correct
1773741177738rn4blxtklt,Are denim jeans from clothes that are blue jean?,Correct
17737411777387py4no8somy,Is 'transition' associated with the frame 'Eventive affecting - An Entity undergoes some change (the Event) that is (or is construed as) punctual'?,Incorrect
1773741177738f82wak0fg7m,Is 'leather' associated with 'boot'?,Correct
1773741177738loiumzfwog,Is 'bedside' associated with 'bed'?,Correct
1773741177738ens1h37uuu,Is sports ball used for training?,Correct
1773741177738f5kgubafjpq,Are amplifier from artifacts that can have radio chassis?,Correct
