"Annotator","Item ID","Content","Annotation","Timestamp"
"federico","1755856065076l4xzjs087oc","Is 'global' associated with the frame 'People_by_jurisdiction'?","Incorrect","24/08/2025, 14:03:06"
"federico","1755856065076xqvlm2hycp","Is 'warning' associated with the frame 'Omen'?","Incorrect","24/08/2025, 14:03:19"
"federico","1755856065076pajsu793rt","Is 'remarkable' associated with the frame 'Measurable_attributes - An Entity has a particular scalar Attribute with a value exceeding a contextually-specified or generally-understood standard'?","Incorrect","24/08/2025, 14:03:52"
"federico","1755856065076qhomhr0l7w","Is 'ignition' associated with the frame 'Process_start'?","Correct","24/08/2025, 14:04:01"
"federico","1755856065076pj08ou9n7el","Is 'Barrier' associated with the frame 'Limitation - An Entity that would be expected to have a characteristic to a certain degree (typically based on comparison to other entities of the same type) instead has a more limited degree of that characteristic'?","Correct","24/08/2025, 14:04:09"
"federico","1755856065076njfd2hg5t49","Is 'move' associated with the frame 'Gradable_proximity'?","Incorrect","24/08/2025, 14:04:18"
"federico","17558560650766adr9v1iazf","Is 'Series' associated with the frame 'Product_line - A specified Designer or a Brand creates and distributes a Collection of related Products'?","Correct","24/08/2025, 14:04:23"
"federico","1755856065076twb1pjvk1ed","Is 'partial' associated with the frame 'Recovery'?","Incorrect","24/08/2025, 14:04:33"
"federico","1755856065076qm4xu8j0vrf","Is 'Rack' associated with the frame 'Placing - Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled'?","Incorrect","24/08/2025, 14:05:38"
"federico","17558560650766c7qms9mc35","Is 'term' associated with the frame 'Appellations - This frame is only for words that are used as the Titles of individuals'?","Incorrect","24/08/2025, 14:05:51"
"federico","17558560650760cq0gl1itxvp","Is 'scale' associated with the frame 'Measure_scenario - An Entity has a particular Value for an Attribute which may be described in several different ways, including: '' Degree of deviation from the Value expected for the kind of Entity seen in a particular instance, or in comparison to some other explicit comparison set'?","Correct","24/08/2025, 14:06:03"
"federico","1755856065076kmz9qv9v1u","Is 'shared' associated with the frame 'Be_in_agreement_on_action - Two (or more) people (the Parties, also encodable as Party_1 and Party_2) have an agreement'?","Correct","24/08/2025, 14:06:05"
