"Annotator","Item ID","Content","Annotation","Timestamp"
"giovanni","1755856458721lko17c3o4u","Is 'notate' associated with 'musical_score, score'?","Correct","28/08/2025, 11:04:28"
"giovanni","1755856458721o63we246nmn","Is 'respond' associated with 'police_officer, policeman, cop'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721pqg5vqh635r","Is 'intimidate' associated with 'fright, fear, fearfulness'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721p6p0ew9h5uj","Is 'hypothetical' associated with 'suggestion, proposition, proffer'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721asdfam3mskm","Is 'Element' associated with 'part, piece'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721qogellm3n3","Is 'hospital' associated with 'patient'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721ff1o7t04shl","Is 'Redtape' associated with 'bureaucracy, bureaucratization, bureaucratisation'?","Correct","28/08/2025, 11:04:29"
"giovanni","1755856458721arwc8tgxxfe","Is 'vintage' associated with 'shoe'?","Correct","28/08/2025, 11:04:30"
"giovanni","1755856458721alkh0agaqpv","Is 'trap' associated with 'hunting, hunt'?","Correct","28/08/2025, 11:04:30"
"giovanni","175585645872157lb3znjk7a","Is 'Vice' associated with 'sin, wickedness, sinfulness'?","Correct","28/08/2025, 11:04:30"
"giovanni","1755856458721492c83r54w4","Is 'accent' associated with 'tonogenesis, tone, tonal_language'?","Correct","28/08/2025, 11:04:30"
"giovanni","1755856458721h6phqbfafa","Is 'Element' associated with 'substantie, substance'?","Correct","28/08/2025, 11:04:30"
"giovanni","1755856458721s9ivlo06p8","Is 'Erudite' associated with 'knowledge, cognition, noesis'?","Correct","28/08/2025, 11:04:30"
"giovanni","17558564587212drftx8mrwo","Is 'ornate' associated with 'threshold, door, doorway'?","Correct","28/08/2025, 11:04:30"
"giovanni","17558564587214bm3z9iwum5","Is 'player' associated with 'sports_season, sports_season_of_a_sports_club, season'?","Correct","28/08/2025, 11:04:31"
"giovanni","1755856458721yiqye6x3w2i","Is 'offensive' associated with 'jew_bashing, anti-semitism, antisemitism'?","Correct","28/08/2025, 11:04:31"
"giovanni","1755856458721ehwu4nybrlo","Is 'harmonics' associated with 'harmony, harmoniousness'?","Correct","28/08/2025, 11:04:32"
"giovanni","1755856458721l6c1xmdyl6s","Is 'portrait' associated with 'model, poser, art_model'?","Correct","28/08/2025, 11:04:33"
"giovanni","1755856458721djyfltxsitr","Is 'tricky' associated with 'difficulty'?","Correct","28/08/2025, 11:04:33"
"giovanni","1755856458721rfs4pyhvyok","Is 'race' associated with 'humankind, world, man'?","Correct","28/08/2025, 11:04:33"
"giovanni","17558564587216akeddty6da","Is 'random' associated with 'chance, hazard, luck'?","Correct","28/08/2025, 11:04:34"
"giovanni","1755856458721obvdx3a1nh9","Is 'republican' associated with 'senate'?","Correct","28/08/2025, 11:04:34"
"giovanni","1755856458721c19kaua4deq","Is 'navy' associated with 'vessel, vas'?","Correct","28/08/2025, 11:04:34"
"giovanni","1755856458721dlpwov2ovwc","Is 'agreement' associated with 'condition, contractual_term, term'?","Correct","28/08/2025, 11:04:34"
"giovanni","1755856458721van87o2geeo","Is 'wide' associated with 'mouth'?","Correct","28/08/2025, 11:04:36"
"giovanni","175585645872183v6rarmsw8","Is 'wind' associated with 'evening, eventide, eve'?","Correct","28/08/2025, 11:04:37"
"giovanni","17558564587211wfj5vuvaj1","Is 'future' associated with 'century'?","Correct","28/08/2025, 11:04:39"
"giovanni","17558564587217e3lqiw1598","Is 'fief' associated with 'domain, land, demesne'?","Correct","28/08/2025, 11:04:39"
"giovanni","1755856458721r93h8w6yme","Is 'direct' associated with 'firm, house, business_firm'?","Correct","28/08/2025, 11:04:39"
"giovanni","17558564587217k0dk7n2lys","Is 'distinguished' associated with 'scientist'?","Correct","28/08/2025, 11:04:39"
"giovanni","175585645872176yzabenrfd","Is 'array' associated with 'set, band, lot'?","Correct","28/08/2025, 11:04:48"
"giovanni","1755856458721n4ipc423py","Is 'serenity' associated with 'peace, ease'?","Correct","28/08/2025, 11:04:49"
"giovanni","17558564587214uja2bpmoev","Is 'capture' associated with 'picture, ikon, image'?","Correct","28/08/2025, 11:04:51"
"giovanni","1755856458721u0idl8jls4","Is 'industrial' associated with 'revolution'?","Correct","28/08/2025, 11:04:52"
"giovanni","175585645872193zh2orezkd","Is 'observe' associated with 'ceremonial_occasion, ceremony, observance'?","Incorrect","28/08/2025, 11:04:54"
"giovanni","1755856458721ill5dsilxx","Is 'Priest' associated with 'preacher, sermonizer, sermoniser'?","Correct","28/08/2025, 11:04:56"
