"Annotator","Item ID","Content","Annotation","Timestamp"
"vlad","17558567924652y3iqtayxuk","Are Saab 35 Draken from vehicles that are delta wing?","Correct","24/08/2025, 15:41:39"
"vlad","1755856792465rk1dwa9jbmf","Are pumpernickel from food that are sour bread?","Correct","24/08/2025, 15:41:46"
"vlad","1755856792465x1fajr171vl","Are traditional from food that are Boston brown bread?","Correct","24/08/2025, 15:42:16"
"vlad","17558567924651wpkh1q23nt","Are Teapot from containers that can be made of ceramic?","Correct","24/08/2025, 15:42:26"
"vlad","1755856792465uq7q6ebxvkm","Are gateway from home that are used for entrance?","Correct","24/08/2025, 15:42:29"
"vlad","1755856792465cwj22t25pic","Are vegan from food that are hip?","Correct","24/08/2025, 15:43:11"
"vlad","1755856792465aa5l7w3fhp7","Are dump truck from vehicles that are tipper lorry?","Correct","24/08/2025, 15:45:39"
"vlad","1755856792465qua4eq3osw","Are Fork from artifacts that can have tip?","Correct","24/08/2025, 15:45:46"
"vlad","17558567924653ulz555grxn","Are donuts from food that can be used for spiced?","Correct","24/08/2025, 15:45:51"
"vlad","17558567924657qq4ue7ilbe","Are sauté from food that are used by cooks?","Correct","24/08/2025, 15:46:05"
"vlad","1755856792465wba3fpxd89","Are kimchi from food that can smell spicy?","Correct","24/08/2025, 15:46:09"
"vlad","1755856792465sz0blxmkgz9","Are violin from instruments that sound versatile?","Correct","24/08/2025, 15:46:13"
"vlad","1755856792465upfgnz23sr","Are microphone from appliance that can have wire?","Correct","24/08/2025, 15:46:16"
"vlad","175585679246539for9upr4s","Are handrails from home that can be curved?","Correct","24/08/2025, 15:46:25"
"vlad","17558567924653iblttql0dq","Are Elk from animals that can be hunt?","Correct","24/08/2025, 15:46:29"
"vlad","1755856792465k5nogl8yztk","Are breeches from clothes that are jodhpurs?","Incorrect","24/08/2025, 15:51:56"
"vlad","1755856792465t7o9rqfty9","Are Sikorsky SH-3 Sea King from vehicles that are shuttle helicopter?","Incorrect","24/08/2025, 15:52:25"
"vlad","1755856792465wdwirmdwqvl","Are Bracer from clothes that are gantlet?","Incorrect","24/08/2025, 15:52:38"
"vlad","1755856792465m3k3p614x8h","Are cider from food that are cider?","Correct","24/08/2025, 15:52:46"
"vlad","1755856792465b1ed4or1dg6","Are Bagel from food that can have staff of life?","Correct","24/08/2025, 15:53:11"
"vlad","1755856792465nsfsksselt","Are Fruitfly from animals that are dipteran?","Correct","24/08/2025, 15:53:21"
"vlad","17558567924650icqq54jdf2g","Are Barge from vehicles that can have cargo deck?","Correct","24/08/2025, 15:53:33"
"vlad","1755856792465ubtm5vew1r","Are eggs from food that can produce salad?","Correct","24/08/2025, 15:53:40"
"vlad","1755856792465ae1tusobrn9","Are handmixers from food that are mixer?","Correct","24/08/2025, 15:53:42"
"vlad","1755856792465hkgsne8rr0k","Are Car hauler from vehicles that are car transporter?","Correct","24/08/2025, 15:53:50"
"vlad","1755856792465q7syx4qeksf","Are Ambulances from vehicles that can be found or used in motorways?","Correct","24/08/2025, 15:54:46"
"vlad","1755856792465y41k4x9zgno","Are broiler from appliance that use fire?","Incorrect","24/08/2025, 15:55:20"
"vlad","1755856792465iesljt6xgj","Are chinos from clothes that are trews?","Correct","24/08/2025, 15:55:32"
"vlad","17558567924655xcfgxkvlhk","Are Perries from food that are cider?","Incorrect","24/08/2025, 15:55:42"
"vlad","17558567924659vmsqg2xszl","Are broccoli from food that are green groceries?","Correct","24/08/2025, 15:56:40"
"vlad","1755856792465y7494zoxlf","Are bees from animals that can be found or used in larvas?","Correct","24/08/2025, 15:56:57"
"vlad","17558567924655pm8z7f58d4","Are tropical fruit salad from food that are fruit salad?","Correct","24/08/2025, 15:57:00"
"vlad","1755856792465dpc2oh4mng","Are Mailboat from vehicles that are mail boat?","Correct","24/08/2025, 15:57:04"
"vlad","17558567924654gzsegic2ce","Are cognac from food that are alcohol?","Correct","24/08/2025, 15:57:06"
"vlad","1755856792465yna3tiw582","Are speedcraft from vehicles that are craft?","Correct","24/08/2025, 15:57:10"
"vlad","1755856792465hmqlh334zke","Are mules from animals that are related with handler?","Correct","24/08/2025, 15:59:55"
"vlad","1755856792465bba287iaxbd","Are cycle from vehicles that can have pedal?","Correct","24/08/2025, 15:59:57"
"vlad","17558567924655nvk0wpck4f","Are shutters from home that are movable barrier?","Correct","24/08/2025, 16:00:05"
"vlad","1755856792465d8tn3gjc3d","Are hexagon from containers that can have centner?","Correct","24/08/2025, 16:00:07"
"vlad","1755856792465ikqiy3qol5","Are tugboats from vehicles that are towboat?","Correct","24/08/2025, 16:00:19"
"vlad","1755856792465n6j04r98hcb","Are Aegis from artifacts that are armour?","Correct","24/08/2025, 16:00:27"
"vlad","1755856792465zfep611fgmh","Are Tasset from artifacts that are armor plating?","Correct","24/08/2025, 16:00:33"
"vlad","1755856792465qi66keoa1q","Are dog from animals that can have nail?","Correct","24/08/2025, 16:00:36"
"vlad","1755856792465ksaa7nteea","Are campervans from vehicles that can have anti-sway bar?","Correct","24/08/2025, 16:00:44"
"vlad","1755856792465pkjw22tfx1","Are Soft-shelled turtle from animals that are anapsid reptile?","Correct","24/08/2025, 16:00:55"
"vlad","1755856792465j9lrruq1k5","Are Duduk from instruments that can have reed?","Correct","24/08/2025, 16:04:20"
"vlad","1755856792465nc5neaf08um","Are insect from animals that can be bite?","Correct","24/08/2025, 16:04:25"
