"Annotator","Item ID","Content","Annotation","Timestamp"
"federico","1755852146784dle367ptohq","Is jeans used for attending a casual event?","Correct","22/08/2025, 12:46:04"
"federico","1755852146784jfkmlzvq3h","Is condom used for sexual health?","Correct","22/08/2025, 12:46:06"
"federico","1755852146784yh4n9sk8qpk","Is starting_family used for planning for future?","Correct","22/08/2025, 12:46:45"
"federico","1755852146784ajhg44d3n","Is razor used for shaving?","Correct","22/08/2025, 12:46:46"
"federico","1755852146784670xkck38nk","Is brick_row_house used for Community Building?","Correct","22/08/2025, 12:46:52"
"federico","1755852146784p2tl6im3juj","Is knight related to heraldry?","Correct","22/08/2025, 12:46:57"
"federico","175585214678431c8vv94n4f","Is plagiarism related to rip_off?","Correct","22/08/2025, 12:47:03"
"federico","1755852146784vuuw9nmg8dq","Is dollar_bill used for Gift Giving?","Correct","22/08/2025, 12:47:05"
"federico","1755852146784jaim0m7mcwt","Is Linear Scleroderma related to en_coup_de_sabre?","Correct","22/08/2025, 12:47:08"
"federico","17558521467849e2ccowwwof","Is toothpaste used for cleaning teeth?","Correct","22/08/2025, 12:47:09"
"federico","1755852146784n2b9whprey8","Is hanging_out_at_bar used for Flirting?","Correct","22/08/2025, 12:47:11"
"federico","1755852146784eunvgl0y3av","Is airplane used for Scientific research?","Incorrect","22/08/2025, 12:47:15"
"federico","1755852146784h5mwa2nus67","Is hand_luggage used for complying with airline regulations?","Incorrect","22/08/2025, 12:47:22"
"federico","17558521467848d2ituwwj74","Is crime related to recidivism?","Correct","22/08/2025, 14:16:40"
"federico","17558521467842vj27ekmato","Is struggle related to tooth_and_nail?","Correct","22/08/2025, 14:16:49"
"federico","17558521467845j5dveaujlo","Is gun used for Protection?","Correct","22/08/2025, 14:16:51"
"federico","1755852146784g82e9i2mn7d","Is getting_physical_activity used for Enhancing Sleep Quality?","Correct","22/08/2025, 14:17:01"
"federico","1755852146784kwkkpxccx","Is biology related to inquiline?","Correct","22/08/2025, 14:17:09"
"federico","1755852146784lfzk04aw6if","Is conference_auditorium used for Business Meetings?","Correct","22/08/2025, 14:17:35"
"federico","175585214678475u4bpdu4sw","Is traveling used for Business?","Correct","22/08/2025, 14:17:36"
"federico","1755852146784dg8hy2y7h3v","Is sating_hunger used for Providing sustenance?","Correct","22/08/2025, 14:17:42"
"federico","17558521467848tvxbnwsqkf","Is disco used for Balls?","Incorrect","22/08/2025, 14:17:49"
"federico","1755852146784qz5jeo7odia","Is carafe used for Flavored drinks?","Correct","22/08/2025, 14:17:58"
"federico","175585214678479i1id080x","Is cannon used for Ceremonies?","Correct","22/08/2025, 14:18:36"
"federico","17558521467848kslqecha3l","Is service_counter used for returning items?","Correct","22/08/2025, 14:18:45"
