"Annotator","Item ID","Content","Annotation","Timestamp"
"giovanni","1755852028703hnyiduuay7w","Is stylus used for Digital Painting?","Correct","26/08/2025, 15:11:41"
"giovanni","1755852028704iz5p66y4vwb","Is garden used for Entertainment?","Correct","26/08/2025, 15:11:51"
"giovanni","17558520287044dit8z5rjc9","Is dressing_nice used for Graduation Ceremonies?","Correct","26/08/2025, 15:11:56"
"giovanni","1755852028704p915fqow33","Is theater_hall used for screening a film?","Correct","26/08/2025, 15:12:19"
"giovanni","1755852028704ly63q9acdvk","Is acoustic_guitar used for Campfire Sing-Alongs?","Correct","26/08/2025, 15:12:32"
"giovanni","1755852028704jsq8lyldedg","Is litmus related to acid_base_indicator?","Correct","26/08/2025, 15:12:52"
"giovanni","1755852028704e38qy8p7q3d","Is eating_quickly used for Busy lifestyle?","Incorrect","26/08/2025, 15:12:59"
"giovanni","1755852028704vkbp69j1yd8","Is walk_in_closet used for Accessory Storage?","Correct","26/08/2025, 15:13:05"
"giovanni","1755852028704zu955eav3d","Is bathroom used for styling hair?","Correct","26/08/2025, 15:13:08"
"giovanni","17558520287048hus3k7g77","Is going_to_performance used for Opera?","Incorrect","26/08/2025, 15:13:28"
"giovanni","1755852028704zw1qzeqx4j","Is away related to far?","Correct","26/08/2025, 15:13:35"
"giovanni","1755852028704n17l2bl57g","Is border related to surround?","Incorrect","26/08/2025, 15:14:03"
"giovanni","1755852028704ayqcbg0qz26","Is benefit related to insure?","Correct","26/08/2025, 15:14:08"
"giovanni","1755852028704m6gxgku13nb","Is gross related to grody?","Correct","26/08/2025, 15:14:23"
"giovanni","1755852028704wsaov4ooa9","Is front_room used for Den?","Incorrect","26/08/2025, 15:14:30"
"giovanni","1755852028704qcerpcz7m9","Is author related to allonym?","Correct","26/08/2025, 15:14:43"
"giovanni","1755852028704ix2cr7xduu","Is gathering_energy_for_tomorrow used for Major Life Transitions?","Correct","26/08/2025, 15:15:06"
"giovanni","1755852028704ul99sxyk88","Is Neanderthal related to troglodytism?","Incorrect","26/08/2025, 15:15:46"
"giovanni","1755852028704gggu07t3dng","Is going_to_work used for Paying bills?","Correct","26/08/2025, 15:15:49"
"giovanni","1755852028704bex9wp7io1s","Is figure related to statue?","Correct","26/08/2025, 15:15:52"
"giovanni","1755852028704gnac69t89y5","Is Nautical chart related to conical_buoy?","Correct","26/08/2025, 15:16:07"
"giovanni","1755852028704upw8uezaipk","Is nave related to clerestory?","Correct","26/08/2025, 15:17:25"
"giovanni","1755852028704ad25ohkt3lp","Is air_conditioner used for relaxing at home?","Correct","26/08/2025, 15:17:31"
"giovanni","1755852028704jt2dnrzpc4g","Is refill used for ink cartridges?","Correct","26/08/2025, 15:17:34"
"giovanni","17558520287043k65xh66taj","Is ship repair related to boot_topping?","Correct","26/08/2025, 15:17:40"
"giovanni","1755852028704bqevssnzxt8","Is Education System related to jinshi?","Incorrect","26/08/2025, 15:18:00"
"giovanni","1755852028704v8ocazsy3xh","Is bookstore used for Buying books?","Correct","26/08/2025, 15:18:03"
"giovanni","17558520287049yvsdq51isc","Is glass used for decorative ornaments?","Correct","26/08/2025, 15:18:08"
"giovanni","1755852028704a3f3u6hrbim","Is choker used for Motorcycle?","Correct","26/08/2025, 15:19:48"
"giovanni","17558520287042sjex3ac6fp","Is blacksmith related to anvil?","Correct","26/08/2025, 15:38:29"
"giovanni","1755852028704l56f7hpx7t","Is catastrophic related to tragic?","Correct","26/08/2025, 15:38:31"
"giovanni","1755852028704guiupdnvoap","Is job references related to work_refs?","Correct","26/08/2025, 15:38:40"
"giovanni","17558520287040badupz3mp16","Is forgiving used for Wrongs?","Correct","26/08/2025, 15:38:44"
"giovanni","1755852028704w287t92az2k","Is dish used for washing up?","Correct","26/08/2025, 15:38:46"
"giovanni","1755852028704nh1m9jhv31","Is expressing_how_funny used for Jokes?","Correct","26/08/2025, 15:38:52"
"giovanni","1755852028704jba1zqx8tid","Is peak related to mount?","Correct","26/08/2025, 15:38:55"
"giovanni","1755852028704pbiwo8d0deb","Is appointment_book used for booking doctor's appointments?","Correct","26/08/2025, 15:39:00"
"giovanni","1755852028704lep0lrlc4if","Is woodwind_family used for Orchestral Performance?","Correct","26/08/2025, 15:39:03"
"giovanni","1755852028704pwmrrvpx7pp","Is debit_card used for paying rent?","Correct","26/08/2025, 15:39:05"
"giovanni","1755852028704wc4ebakyk6e","Is kitchen_utensil used for Chopping?","Correct","26/08/2025, 15:39:08"
"giovanni","1755852028704wfozfli8fln","Is performing used for Circus?","Correct","26/08/2025, 15:39:10"
"giovanni","1755852028704er6r5cft4","Is drainage related to eavestrough?","Correct","26/08/2025, 15:39:28"
"giovanni","1755852028704eybwwh1zct4","Is Paranormal related to marfa_light?","Correct","26/08/2025, 15:39:44"
"giovanni","1755852028704hx1jeonh8m7","Is reflection related to sounding_board?","Incorrect","26/08/2025, 15:42:05"
"giovanni","17558520287041b633xabpmo","Is bicycle used for Leisure?","Correct","26/08/2025, 15:42:19"
"giovanni","17558520287046yau9ghddj","Is hiking used for Exercise?","Correct","26/08/2025, 15:42:21"
"giovanni","1755852028704v4qnjfn76c","Is playing_piano used for Education?","Correct","26/08/2025, 15:42:23"
"giovanni","1755852028704huu3lpz7rnv","Is jewelry used for signifying status?","Correct","26/08/2025, 15:42:25"
"giovanni","175585202870414zg356fhnj","Is numerical related to fifteen?","Correct","26/08/2025, 15:42:32"
