"Annotator","Item ID","Content","Annotation","Timestamp"
"federico","1755856587896rzap2kznfl","Is 'informative' associated with 'reading'?","Correct","25/08/2025, 11:45:17"
"federico","1755856587896jfnjsv1c8ij","Is 'contingent' associated with 'proviso, provision'?","Correct","25/08/2025, 11:45:32"
"federico","17558565878965hl83n3aidb","Is 'invest' associated with 'bond, bond_certificate'?","Correct","25/08/2025, 11:46:12"
"federico","175585658789643g5er491rm","Is 'ocean' associated with 'sea'?","Correct","25/08/2025, 11:46:49"
"federico","1755856587896bq0265tiswp","Is 'encourage' associated with 'liberalism'?","Incorrect","25/08/2025, 11:48:57"
"federico","1755856587896aakpblkkb9a","Is 'integrated' associated with 'plant, industrial_plant, physical_plant'?","Correct","25/08/2025, 11:50:09"
"federico","1755856587896jxy0gthmen","Is 'grind' associated with 'jaw'?","Correct","25/08/2025, 11:50:35"
"federico","17558565878966luieawbs0b","Is 'Spreadsheet' associated with 'tabular_array, table'?","Correct","25/08/2025, 11:50:36"
"federico","17558565878967pvb2haazzc","Is 'shoot' associated with 'rifle, youth_rifle, budé'?","Correct","25/08/2025, 11:50:38"
"federico","1755856587896xftkijetmc","Is 'Democracy' associated with 'freedom'?","Correct","25/08/2025, 11:51:25"
"federico","17558565878967hc2grb3qbs","Is 'book' associated with 'reading'?","Correct","25/08/2025, 11:51:27"
"federico","1755856587896audyjgrc2j9","Is 'evaluate' associated with 'judgement, judgment, mind'?","Correct","25/08/2025, 11:51:40"
"federico","1755856587896hv5v9cgktnn","Is 'smear' associated with 'patch, spot, speckle'?","Correct","25/08/2025, 11:51:43"
"federico","1755856587896p3b8ludq17h","Is 'country' associated with 'locality, location, geographic_location'?","Correct","25/08/2025, 11:51:46"
"federico","1755856587896afm7qllo9ob","Is 'steadfast' associated with 'pursuit, following, pursual'?","Correct","25/08/2025, 11:53:08"
"federico","1755856587896n4l7xupqkvf","Is 'ferocious' associated with 'strength, intensity_level, intensity'?","Correct","25/08/2025, 11:53:23"
"federico","1755856587896wtbfavdva2","Is 'cultural' associated with 'distance'?","Correct","25/08/2025, 11:54:03"
"federico","1755856587896clsnmhopssj","Is 'accept' associated with 'condition, contractual_term, term'?","Correct","25/08/2025, 11:54:06"
"federico","1755856587896k2ljoihh3q","Is 'dramatic' associated with 'impact'?","Correct","25/08/2025, 11:54:08"
"federico","1755856587896pyb65tykmme","Is 'appraisal' associated with 'valuation, evaluation, rating'?","Correct","25/08/2025, 11:54:09"
"federico","1755856587896cepr9cw3ykm","Is 'government' associated with 'ambassador, embassador'?","Correct","25/08/2025, 11:54:10"
"federico","1755856587896x8sdz2y1ke","Is 'optimal' associated with 'solution, solvent, result'?","Correct","25/08/2025, 11:54:12"
"federico","1755856587896zb9dcefqsyj","Is 'severe' associated with 'storm, storm_damage, violent_storm'?","Correct","25/08/2025, 11:54:15"
"federico","17558565878960yf1lzcrnrmh","Is 'suffering' associated with 'painfulness, pain'?","Correct","25/08/2025, 11:54:17"
