concept1,concept2
18_foot_potato,intimidate_angry_leprechauns
abbacus,add_up_numbers
abortion,removing_unwanted_pregnancies
abortion,terminating_pregnancy
abs_brakes,preventing_wheel_lock_up
accelerator,accelerate
accelerator,speed
accommodation,place_to_stay
accommodation,shower
accommodation,sleep
accommodation,sleep_in_over_night
accommodation,stay
accommodation,staying_in
accommodations,comfort
accommodations,having_someplace_to_stay
accommodations,housing_while_travelling
accommodations,sleep_while_away_from_home
accommodations,sleeping
accordian,play_polka_tune
accordian_bag,accordian
accordian_bag,air
accordian_bag,carrying_accordion
accordian_bag,carrying_other_musical_instruments
accordian_bag,carrying_puppies
accordian_bag,cover_for_accordion
accordian_bag,having_useful_bag
accordian_bag,play_accordian
accordian_bag,pump_air
accordian_bag,storing_accordian
accordion,annoy_people
accordion,annoying_neighbors
accordion,fun
accordion,make_music
accordion,make_people_dance
accordion,making_music
accordion,music
accordion,play_polka
accordion,playing_in_orchestra
accordion,polka_bands
accordion,polka_music
accordion,talented_players
account_book,bank
account_book,keep_accounts
account_book,keep_track_of_salaries
account_book,keeping_track_of_accounts
account_book,keeping_track_of_expenses
account_book,keeping_track_of_income_and_expenses
account_book,keeping_track_of_losses
account_book,keeping_track_of_monies
account_book,keeping_track_of_payments
account_book,keeping_track_of_profits
account_book,record_numbers
account_book,records_of_transactions
acid,etch_glass
acid,etch_metal
acne_medication,clear_skin
acne_medication,clearing_up_skin
acne_medication,controlling_acne
acne_medication,get_rid_of_spots
acne_medication,getting_rid_of_pimples
acne_medication,getting_rid_of_spots
acne_medication,getting_rid_of_zits
acne_medication,less_red_irritation
acne_medication,making_face_look_nicer
acne_medication,preventing_pimple
acne_medication,smother_skin
acne_medication,teenagers
acne_medication,treating_acne
acne_medication,treatment_of_acne
acoustic_ceiling,control_noise
acoustic_ceiling,cut_noise
acoustic_ceiling,dampen_loud_noises
acoustic_ceiling,dampening_sound
acoustic_ceiling,damping_sound_in_area
acoustic_ceiling,focus_sound_waves
acoustic_ceiling,looks
acoustic_ceiling,quieting_sound
acoustic_ceiling,reduce_echoes
acoustic_ceiling,reduce_neighbour_noise
acoustic_ceiling,use_in_sound_studio
acoustic_guitar,folk_music
acoustic_guitar,having_fun
acoustic_guitar,make_music_while_sing
acoustic_guitar,making_folk_music
acoustic_guitar,making_music
acoustic_guitar,performing_music
acoustic_guitar,play_music
acoustic_guitar,playing
acoustic_guitar,playing_music
acoustic_guitar,playing_notes
acoustic_guitar,playing_softly
acoustic_guitar,rocking_out
acoustic_guitar,show_off
acrylic,art
acrylic,creating_paintings
acrylic,for_painting_with
acrylic,making_furniture
acrylic,making_paint
acrylic,making_toys
acrylic,paint
acrylic,paint_picture
acrylic,painting_picture
acrylic,painting_pictures
acrylic,painting_things
