Item ID,Content,Annotation
17737411384097w3l1bddd6,Is disco used for flashy outfits?,Incorrect
1773741138409xdu3v5sf7t,"Is 'propel' associated with the frame 'Motion directional - In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces'?",Incorrect
17737411384090n1z6vq541ee,"Is 'vigilant' associated with 'police officer, policeman, cop'?",Correct
1773741138409kvx3o29p4r,"Is 'bearing' associated with 'behaviour, behavior, demeanor'?",Correct
17737411384090tf0okdfpyq,Are soda from food that can have glucose?,Correct
1773741138409ng5i060w9a,Are headband from clothes that are used by goalkeepers?,Correct
1773741138409zwbpmsut1t,Is Massachusetts related to haverhill?,Correct
17737411384090w1g2dzbadq,Is breed related to cymric?,Correct
177374113840908n5grjk4fl6,"Is 'Plan' associated with the frame 'Attempting and resolving scenario - An Agent has a particular Goal in mind, and then uses some Means that they believe will bring about the Goal'?",Correct
1773741138409tgy85rx7gw,Are dining room from home that are article?,Incorrect
17737411384090ldec7ahrgwe,Are leafminer beetles from animals that are leaf miner?,Correct
1773741138409grm7rw3pls,Are chino jacket from clothes that are chino?,Correct
1773741138409yc5roaccc3q,"Is 'identify' associated with 'categorization, biological classification, assortment'?",Correct
17737411384098h3j4njvpp,Is 'fall short' associated with the frame 'Elusive goal - An Experiencer does not achieve a Desired goal'?,Correct
17737411384092heeknbx6fj,Is praying used for asking for healing?,Correct
17737411384091ao8ssi9xff,Is 'title' associated with 'title'?,Correct
1773741138409fg842byqtdo,Is stream used for flowing water?,Correct
1773741138409j3s5m5zlppo,Are porter from food that are brewage?,Correct
17737411384090j2sagesr0uw,"Is 'opt for' associated with the frame 'Preference - An Experiencer has a greater desire to participate in some Event, as against another (contextually recoverable) event which exhibits a specific Contrast with the Event'?",Correct
17737411384096t34wvyf1v2,Is 'capability' associated with the frame 'Capacity - An Entity has the ability to contain a Theme'?,Correct
177374113840964eezjxv7nu,"Is 'funeral' associated with 'expiry, death, decease'?",Correct
17737411384091b47i4rem51,"Is 'arched' associated with 'curve, curved shape'?",Correct
17737411384090s1qnrajyb4q,Are elk from animals that can be graze?,Correct
1773741138409u8dinrq33aj,Is gluon related to dibaryon?,Correct
1773741138409vkw5fajpwt,Are yacht from vehicles that are used by captains?,Correct
1773741138409iwoo65aynm,Is 'distribute' associated with 'amount'?,Correct
1773741138409nx7hm8z4cx,"Is 'assert' associated with the frame 'Claim ownership - A Claimant asserts his or her right to possession of a piece of Property (either real, such as land, or private)'?",Correct
1773741138409zkbip6632p,Is 'create' associated with the frame 'People by vocation - This frame contains  words for Individuals as viewed in terms of their vocation'?,Incorrect
1773741138409nezs1ftp4wk,Is breakfast related to cereal?,Correct
1773741138409t4l4j691lxg,Are speaker from appliance that can be found or used in theaters?,Correct
1773741138409zb5ity1i9go,Are Scotland from clothes that are kilt?,Incorrect
1773741138409a023992rmjh,Is coat used for wet weather gear?,Correct
1773741138409j76msgqcsk,Are gas boiler from appliance that use gas?,Correct
17737411384090bd5277yid7r,Is 'spank' associated with the frame 'Corporal punishment - Blend of Rewards and punishments and Bodily injury in which the Agent performs some action intended to cause Bodily harm to the Evaluee as a consequence of some action or belief of the Evaluee (the Reason)'?,Correct
17737411384094gk7yp7i9ia,Is 'delay' associated with the frame 'Interrupt process - A Cause (or associated Actor) causes an ongoing Process to temporarily stop'?,Correct
1773741138409uohjdu2uu6m,Are hominy cornbread from food that are hominy?,Correct
17737411384096k7c1b0v08y,"Is 'gratifying' associated with 'enjoyment, delight, delectation'?",Correct
1773741138409ulz9x90gyre,Are pie from food that can be dessert?,Correct
1773741138409mnsfbiup9j,"Is 'tone' associated with 'auditory sensation, sound'?",Correct
1773741138409dtruy06zomq,Are sharp cheddar from food that are cheddar cheese?,Correct
1773741138409xgpbtk2q38t,Are tennis shoes from clothes that can have toe box?,Correct
1773741138409ztxoyy3rro,Is percentage related to fifth?,Incorrect
1773741138409pre37x5xmpi,Is 'innovate' associated with 'scientist'?,Correct
1773741138409lt5a5l3s5o,Are interface from appliance that are controller?,Correct
17737411384090sg2lrv6a9v,Are leather sofa from home that can be brown?,Incorrect
1773741138409xm05bw3l37,Is thrombocytapheresis related to apheresis?,Correct
1773741138409sr4ubqgrcpd,"Is 'transmit' associated with the frame 'Cause to perceive - An Agent, Actor, Entity, or Medium causes a Phenomenon to be perceived by a Perceiver'?",Correct
1773741138409ks9rr1acfbf,"Is 'break' associated with 'branch, tree branch'?",Correct
1773741138409zcgqchv1mzd,Are cargo ship from vehicles that are supply ship?,Correct
1773741138409hyfk6kgcazq,Is 'safeguard' associated with the frame 'Be on alert - A Protagonist has become aware of a possible Danger (a dangerous event or a Dangerous entity that might participate in an event harmful to the Protagonist) and is ready to engage in an Activity in response to that Danger'?,Correct
1773741138409sblbti0id,Is 'commence' associated with the frame 'Process start - An Event begins at a certain Time and Place'?,Correct
1773741138409v8rns6s1ra7,Is 'breakdown' associated with the frame 'Render nonfunctional - An Agent affects an Artifact so that it is no longer capable of performing its inherent function'?,Correct
1773741138409bx7q50uy4tu,"Is 'inhaler' associated with 'lungs, lung'?",Correct
1773741138409ucg4xgyf8w,"Is 'province' associated with the frame 'Political locales - This frame covers words that name Locations as defined politically, or administratively'?",Correct
17737411384098nou01z5qen,"Is 'dividends' associated with 'net, net income, earnings'?",Correct
1773741138409zld6xzb6jf,Is 'better' associated with the frame 'Improvement or decline - An Entity improves from a less desirable Prior state to a more desirable Post state'?,Correct
1773741138409qdtzugu8mq,"Is 'sketch' associated with 'architect, designer'?",Correct
1773741138409jorw0wpyqok,Is farting used for silent passing?,Correct
1773741138409kism2ptfde,Is 'debate' associated with 'council'?,Correct
17737411384096rdx4mbtxgj,Are V-22 Osprey from vehicles that are cargo helicopter?,Correct
1773741138409fwiqej02vgs,Is nature related to outside?,Correct
17737411384095pw19t9zgsb,Is 'impactful' associated with 'significance'?,Correct
1773741138409jej0re680kf,Is improving image used for professional development?,Correct
1773741138409uxqqcn48gt,Is hitchhiker related to hitchhike?,Correct
1773741138409u0l06os0dld,"Is corn used for [  ""feeding livestock?",Correct
1773741138409trywst25ivh,Is bank used for checking accounts?,Correct
1773741138409bcl2d6xvmpp,"Is 'reflect' associated with 'spirit, feel, flavor'?",Correct
1773741138409sh5mtswa8x,"Is 'highlight' associated with the frame 'Location of light - A perceptible Figure shows up against a Ground location due to Light shining on/from it, its salience possibly dependent on a Cause of shine'?",Correct
1773741138409u58740r51w,Is kingdom related to tyrone?,Correct
1773741138409c12u0kt4a6,"Is 'esteemed' associated with 'chairman, chairperson, president'?",Correct
17737411384095d9pmaetfp9,Is 'sensitive' associated with the frame 'Mental property - The adjectives and nouns in this frame are all based on the idea that mental properties may be attributed to a person (Protagonist) by a (usually implicit) Judge  on the basis of that person'?,Correct
1773741138409ohxznjom5k,Is succulent related to yucca?,Correct
17737411384093dmur5p4jfu,"Is 'focus' associated with 'eye, optic, oculus'?",Correct
17737411384093478lqwmk92,"Is 'trade' associated with 'economy, economic system'?",Correct
17737411384099zt5kepn96,Is 'acquisition' associated with the frame 'Post transfer - The stage after the Theme is in the possession of the Recipient'?,Correct
17737411384096g7uepsbfou,Is depraved related to unwholesome?,Correct
1773741138409rqu3kfy7ms,Is 'Remittance' associated with the frame 'Commerce money-transfer - The subframe of the Commercial transaction frame which involves the transfer of Money from the Buyer to the Seller (in exchange for the Goods)'?,Correct
1773741138409xstku1dmfj,"Is 'associate' associated with the frame 'Alliance - After having worked separately for some time, two or more organizational or individual Members are now organized in an Alliance so that they may better pursue some common Purposes'?",Correct
1773741138409ca0l6ttr9bo,Are articulated dump truck from vehicles that are dumper?,Correct
17737411384098cgt17qtxf,Is 'annual' associated with the frame 'Event - An Event takes place at a Place and Time'?,Correct
1773741138409hu49k0oowtc,Are cow from animals that can have foot?,Incorrect
17737411384093g24q1prkzc,Is 'evaporate' associated with the frame 'Cause change of phase - A Cause or Agent causes a Patient to undergo a change of phase'?,Correct
1773741138409txe62jwy419,Is 'utter' associated with 'phrase'?,Correct
1773741138409mrqewwv2mzf,Are butter from food that can be yellow?,Correct
1773741138409qp429pju8dh,Is hat used for professional uniform?,Correct
1773741138409omeq0o4walg,Are chips from food that are snack food?,Correct
17737411384095pjbql8lru6,Is meeting people used for interviewing?,Correct
1773741138409ir5vzflcob,Is cutlery drawer used for preparing meals?,Correct
1773741138409v2tttz69xf,"Is 'civil disobedience' associated with 'protest, protestation'?",Correct
17737411384098a862oavtgr,Is viewing video used for sports analysis?,Correct
1773741138409a7vubnyufbu,Are hauler from vehicles that are tipper lorry?,Correct
1773741138409sspzrtgegd,Is hippocampus related to episodic memory?,Correct
1773741138409d5dkzjfmrek,Are Cormorant from animals that are carinate bird?,Correct
17737411384098hvbpfwof1i,Are police car from vehicles that are sound truck?,Incorrect
177374113840967m2rxxzgg,"Is 'edit' associated with 'paper, composition, report'?",Correct
1773741138409zkkudnkl4ah,Is proportionally related to fairly?,Correct
17737411384099rsjj29z2qc,Are ski mask from clothes that can have earlap?,Incorrect
1773741138409pa530nsurgl,Is 'evidence' associated with 'fact'?,Correct
1773741138409wji8wc7m4d,Are smartwatch from appliance that are telecom?,Correct
1773741138409xlqmg36aefr,"Is 'bright' associated with the frame 'Light movement - An Emitter emits a Beam of light from a Source, along a Path, and/or towards a Goal'?",Correct
1773741138409nbu2cdybpt9,Is lead chromate related to dichromate?,Correct
17737411384099ym5pmu02cl,"Is 'tender' associated with 'fellow feeling, sympathy'?",Correct
1773741138409y6dozlrmesp,Is 'keep going' associated with the frame 'Process continue - An Event continues at a certain Place through Time'?,Correct
177374113840924ao28r78fi,Is 'standstill' associated with the frame 'Halt - This frame consists of LUs which denote a Theme ceasing motion'?,Correct
1773741138409opriklel22,Are hippopotamus from animals that can be found or used in Indias?,Correct
1773741138409awo0taw8z5,Is drill used for metalworking?,Correct
1773741138409h6in07yt0m4,Is cataloging related to authority control?,Correct
1773741138409yce3l73e6,Is 'illegality' associated with the frame 'Legality - Words in this frame describe the status of an Action with respect to a Code of laws or rules'?,Correct
1773741138409zo80jlpbkd,Is drink related to sprite?,Correct
1773741138409eaqu340q2bc,Is thermodynamics related to physic?,Correct
1773741138409lp5ho36va6j,Is releasing energy used for powering muscles?,Correct
1773741138409k3bv03cde7,Is lipid bilayer related to galactosyldiacylglycerol?,Correct
1773741138410qxkyjxqdh7n,Is walk in closet used for luxury home feature?,Correct
1773741138410r01grj7vy7l,Is nutrient cycling related to earthworm?,Correct
1773741138410kq12wi0z3pd,Are hauberk from artifacts that are armor plating?,Correct
1773741138410b3bq9xlk1lj,Is buying for loved one used for creating memories?,Correct
1773741138410ujlkrv48t,Is condemn related to denounce?,Correct
17737411384104gcy9vnc08t,Is 'assess' associated with the frame 'Being operational - An Object with an understood function is or is not in a state ready to perform that function'?,Correct
1773741138410q91ntwucipf,Is road used for cycling?,Correct
1773741138410s6avxqf45yn,"Is 'operation' associated with 'use, utilisation, employment'?",Correct
1773741138410wj7lspy5v2l,Is tooth used for biting?,Correct
1773741138410m9s2pm07p6,"Is 'display' associated with the frame 'Information display - A man-made artifact, digital or physical, which is used to display information presented via the object'?",Correct
1773741138410pl1su45tmil,"Is 'smolder' associated with the frame 'Fire end scenario - This scenario begins with a Fire burning, transitions as the Fire goes out, and ends with the Fire dissipated'?",Correct
1773741138410gibpjkvg1gm,Are coldwater crab from animals that are Alaska king crab?,Incorrect
17737411384108kttkp8svpc,Is 'discovery' associated with the frame 'First experience - An implicit experiencer has an Experience for the first time'?,Correct
1773741138410siezibk78tq,"Is 'celebrated' associated with 'proper noun, name, proper name'?",Incorrect
1773741138410ausuxft55n,Is flowers related to rosedale?,Correct
1773741138410cgywehgvy15,Is 'component' associated with the frame 'Connecting architecture - An entity is integrated into a building as a Part of a (possibly unexpressed) Whole which may refer to the whole building or merely to a sub-part of the building'?,Correct
17737411384107mwo3szjpvf,"Is 'outline' associated with 'canvass, canvas'?",Correct
1773741138410kegto1g4ny,"Is 'reach' associated with the frame 'Motion scenario - This frame binds together the various parts of movement, from setting out, to traveling, to arriving'?",Correct
17737411384100ug9p38zvfu,Is ankle related to boot?,Correct
1773741138410075z1axovfhy,"Is 'sensory' associated with 'percept, perception, perceptual experience'?",Correct
17737411384100r34s6x4krx,Is 'radiate' associated with 'brightness'?,Correct
177374113841038tz1gv5hl8,"Is 'cohesive' associated with 'gang, mob, pack'?",Correct
17737411384104jfjk62uqk8,"Is 'intimacy' associated with 'sex, sexual activity, sex activity'?",Correct
1773741138410gj380f2pp4e,"Is 'disperse' associated with 'air, atmosphere'?",Correct
1773741138410pa9w7m9415,Is 'notify' associated with the frame 'Billing - A Billing authority communicates in written form that the Debtor owes the Owed party (often the same as the Billing authority) some amount of Money for certain Goods (including services) provided by the Owed party or to clear a debt for a Bad action by the Debtor against the Owed party'?,Correct
1773741138410ze0c1o81n5d,Are chicken from food that can be used for spiced?,Correct
177374113841070u9wy6cbi6,Is 'deal' associated with 'trade'?,Correct
1773741138410x229t81pom,Are sink from home that are related with tap?,Correct
177374113841092ak02gbo4c,"Is 'ionize' associated with 'gas, gaseous state'?",Correct
1773741138410iuqepqycln,"Is 'utensil' associated with 'pot, cooking pot, saucepan'?",Correct
17737411384100vdhzv2oeeu,"Is 'contrasting' associated with the frame 'Actually occurring entity - Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world'?",Correct
1773741138410gm35ptb0l8q,Is 'stalled' associated with the frame 'Activity abandoned state - An Agent is in an unfinished part of an activity'?,Correct
1773741138410qhqbyeuojl,Are coffee shop from food that are cappuccino coffee?,Incorrect
1773741138410wh5251a2ood,Is 'limit' associated with 'capacity'?,Correct
1773741138410jyi7oxd95z,Is linoleum used for bathroom flooring?,Correct
1773741138410s0v1kzx1b8p,"Is 'terminated' associated with the frame 'Activity finish - An Agent finishes an Activity, which can no longer logically continue'?",Correct
